Período Ocorrência,Cidade,Descrição Local,Rubrica,Cidade Veículo,Cor Veículo,Ano Modelo,Tipo Veículo,Modelo Veículo,Marca Veículo,contagem_descricaolocal,contagem_modelo_veic
A NOITE,OSASCO,Via Pública,Furto (art. 155) - VEICULO,OSASCO,Cinza,0,AUTOMOVEL,HB20 1.0M 1.0 M,HYUNDAI,6309,89
PELA MANHÃ,OSASCO,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Cinza,0,AUTOMOVEL,HONDA HR-V EX CVT,I,6309,4
A NOITE,OSASCO,Via pública,Furto (art. 155) - VEICULO,OSASCO,Prata,2017,AUTOMOVEL,HB20 1.0M COMFOR,HYUNDAI,22353,319
A NOITE,S.BERNARDO DO CAMPO,Residência,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Cinza,0,MOTOCICLO,CB250F TWISTER A S,HONDA,1162,11
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Prata,0,MOTOCICLO,YBR 125K,YAMAHA,6309,45
A TARDE,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,SÃO PAULO,Branco,0,AUTOMOVEL,RENAULT DUSTER,I,22353,5
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Cinza,0,Não Informado,FIAT TIPO 1.6IE,IMP,6309,26
DE MADRUGADA,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Vermelho,0,AUTOMOVEL,CORSA SUPER,GM,6309,194
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO CAETANO DO SUL,Preta,0,AUTOMOVEL,HB20 1.0M UNIQUE,HYUNDAI,6309,68
EM HORA INCERTA,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,S.BERNARDO DO CAMPO,Azul,2015,AUTOMOVEL,HB20 1.0M COMFOR,HYUNDAI,22353,319
DE MADRUGADA,MAUA,Via Pública,Furto (art. 155) - VEICULO,MAUÁ,Branco,0,Não Informado,KIA K2500 HD,I,6309,19
DE MADRUGADA,OSASCO,Garagem ou abrigo de residência,Furto (art. 155) - VEICULO,OSASCO,Branco,0,AUTOMOVEL,KOMBI,VW,952,114
DE MADRUGADA,OSASCO,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Prata,0,AUTOMOVEL,ONIX 1.4AT LT,CHEVROLET,6309,57
A NOITE,SUZANO,Via Pública,Furto (art. 155) - VEICULO,SUZANO,Vermelho,0,AUTOMOVEL,GOL 1.0,VW,6309,105
DE MADRUGADA,OSASCO,Garagem ou abrigo de residência,Furto (art. 155) - VEICULO,OSASCO,Amarelo,0,MOTOCICLO,CG 160 TITAN,HONDA,952,662
A TARDE,MOGI DAS CRUZES,Estacionamento com vigilância,Furto (art. 155) - VEICULO,SÃO PAULO,Cinza,0,AUTOMOVEL,PARATI GL,VW,213,16
DE MADRUGADA,FERRAZ DE VASCONCELOS,Via pública,Furto (art. 155) - VEICULO,FERRAZ DE VASCONCELO,Verde,1995,AUTOMOVEL,UNO ELETRONIC,FIAT,22353,283
PELA MANHÃ,OSASCO,Residência,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Preta,0,MOTOCICLO,NXR150 BROS ESD,HONDA,1162,28
DE MADRUGADA,OSASCO,Residência,Furto (art. 155) - VEICULO,,,0,,,,1162,0
DE MADRUGADA,OSASCO,Residência,Furto (art. 155) - VEICULO,OSASCO,Vermelho,0,MOTOCICLO,NXR150 BROS ES,HONDA,1162,21
DE MADRUGADA,OSASCO,Residência,"Furto qualificado (art. 155, §4o.) - RESIDENCIA",,,0,,,,1162,0
DE MADRUGADA,OSASCO,Residência,"Furto qualificado (art. 155, §4o.) - RESIDENCIA",OSASCO,Vermelho,0,MOTOCICLO,NXR150 BROS ES,HONDA,1162,21
PELA MANHÃ,OSASCO,Via pública,Furto (art. 155) - VEICULO,BELO HORIZONTE,Prata,2020,AUTOMOVEL,VOYAGE L,VW,22353,12
PELA MANHÃ,S.ANDRE,Garagem coletiva de prédio,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Azul,0,MOTOCICLO,FZ25 FAZER,YAMAHA,241,205
PELA MANHÃ,TABOAO DA SERRA,Shopping Center,Furto (art. 155) - VEICULO,S.PAULO,Branco,2014,AUTOMOVEL,AUDI A4 2.0TFSI,I,43,2
DE MADRUGADA,BARUERI,Via pública,Furto (art. 155) - VEICULO,RIO DE JANEIRO,Verde,2019,MOTOCICLO,XRE 300,HONDA,22353,149
PELA MANHÃ,S.BERNARDO DO CAMPO,Via pública,Localização/Apreensão e Entrega de veículo,,,0,,,,22353,0
PELA MANHÃ,S.BERNARDO DO CAMPO,Via pública,Localização/Apreensão e Entrega de veículo,S.BERNARDO DO CAMPO,Azul,2014,CAMIONETA,BMW X1 SDRIVE20I VL91,I,22353,3
PELA MANHÃ,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,,,0,,,,22353,0
PELA MANHÃ,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,S.BERNARDO DO CAMPO,Azul,2014,CAMIONETA,BMW X1 SDRIVE20I VL91,I,22353,3
A NOITE,CAJAMAR,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Cinza,2015,UTILITÁRIO,PAJERO TR4 FL 2WD HP,MMC,22353,3
EM HORA INCERTA,S.CAETANO DO SUL,Via pública,Furto (art. 155) - VEICULO,CARAGUATATUBA,Branco,2008,CAMIONETA,KOMBI,VW,22353,114
PELA MANHÃ,ARUJA,Via Pública,Furto (art. 155) - VEICULO,ARUJÁ,Prata,0,AUTOMOVEL,FIAT SIENA ESSENCE 1.6,I,6309,5
A NOITE,DIADEMA,Via pública,Furto (art. 155) - VEICULO,DIADEMA,Preta,1996,AUTOMOVEL,CORSA WIND,GM,22353,785
A NOITE,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Prata,0,AUTOMOVEL,KA SE 1.0 HA C,FORD,6309,175
DE MADRUGADA,MAUA,Garagem ou abrigo de residência,Furto (art. 155) - VEICULO,MAUÁ,Preta,0,AUTOMOVEL,GOL PLUS MI,VW,952,24
EM HORA INCERTA,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,MAUA,Preta,2010,AUTOMOVEL,GOLF 2.0,VW,22353,7
DE MADRUGADA,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO CAETANO DO SUL,Prata,0,AUTOMOVEL,HB20 1.0M COMFOR,HYUNDAI,6309,319
A TARDE,DIADEMA,Via pública,Furto (art. 155) - VEICULO,CAMPINAS,Preta,2021,MOTOCICLO,CG 160 FAN,HONDA,22353,1278
A TARDE,S.BERNARDO DO CAMPO,Estacionamento particular,Furto (art. 155) - VEICULO,SÃO PAULO,Prata,0,MOTOCICLO,CG 160 FAN,HONDA,381,1278
A TARDE,MAUA,Via Pública,Furto (art. 155) - VEICULO,MAUÁ,Prata,0,AUTOMOVEL,HB20 1.0M UNIQUE,HYUNDAI,6309,68
PELA MANHÃ,TABOAO DA SERRA,Shopping Center,Furto (art. 155) - VEICULO,S.PAULO,Branco,2014,AUTOMOVEL,AUDI A4 2.0TFSI,I,43,2
A TARDE,OSASCO,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Prata,0,AUTOMOVEL,UNO WAY 1.0,FIAT,6309,53
PELA MANHÃ,S.CAETANO DO SUL,Via pública,Furto (art. 155) - VEICULO,S.CAETANO DO SUL,Vermelho,2021,MOTOCICLO,CG 160 TITAN,HONDA,22353,662
A TARDE,OSASCO,Garagem coletiva de prédio,Furto (art. 155) - VEICULO,OSASCO,Vermelho,0,MOTOCICLO,CG 160 FAN,HONDA,241,1278
